2025-07-23 23:38:24.525 | INFO     | user_script:main:10 - 目录选择: 
2025-07-23 23:38:24.525 | INFO     | user_script:main:11 - 文件选择: 
2025-07-23 23:38:24.525 | INFO     | user_script:main:12 - 布尔判断: 
2025-07-23 23:38:24.525 | INFO     | user_script:main:13 - 单选选择: 红色
2025-07-23 23:38:24.526 | INFO     | user_script:main:14 - 多选选择: 阅读
2025-07-23 23:38:24.526 | INFO     | user_script:main:18 - 多选解析后: ['阅读']
2025-07-23 23:38:24.527 | INFO     | user_script:main:19 - --- END ---
2025-07-23 23:38:28.524 | INFO     | __main__:run_script:240 - 开始执行脚本: 基础脚本 - 副本\test_form
2025-07-23 23:38:28.525 | INFO     | user_script:main:9 - --- 表单控件测试 ---
2025-07-23 23:38:28.525 | INFO     | user_script:main:10 - 目录选择: 
2025-07-23 23:38:28.526 | INFO     | user_script:main:11 - 文件选择: 
2025-07-23 23:38:28.526 | INFO     | user_script:main:12 - 布尔判断: 
2025-07-23 23:38:28.526 | INFO     | user_script:main:13 - 单选选择: 红色
2025-07-23 23:38:28.526 | INFO     | user_script:main:14 - 多选选择: 阅读
2025-07-23 23:38:28.526 | INFO     | user_script:main:18 - 多选解析后: ['阅读']
2025-07-23 23:38:28.527 | INFO     | user_script:main:19 - --- END ---
2025-07-23 23:38:32.949 | INFO     | __main__:run_script:240 - 开始执行脚本: 基础脚本 - 副本 (2)\hello
2025-07-23 23:38:36.756 | INFO     | __main__:run_script:240 - 开始执行脚本: 基础脚本 - 副本 (2)\test_form
2025-07-23 23:38:36.757 | INFO     | user_script:main:9 - --- 表单控件测试 ---
2025-07-23 23:38:36.757 | INFO     | user_script:main:10 - 目录选择: 
2025-07-23 23:38:36.758 | INFO     | user_script:main:11 - 文件选择: 
2025-07-23 23:38:36.758 | INFO     | user_script:main:12 - 布尔判断: 
2025-07-23 23:38:36.758 | INFO     | user_script:main:13 - 单选选择: 红色
2025-07-23 23:38:36.759 | INFO     | user_script:main:14 - 多选选择: 阅读
2025-07-23 23:38:36.759 | INFO     | user_script:main:18 - 多选解析后: ['阅读']
2025-07-23 23:38:36.759 | INFO     | user_script:main:19 - --- END ---
2025-07-23 23:41:46.194 | INFO     | __main__:run_script:240 - 开始执行脚本: 基础脚本 - 副本 (3)\test_form
2025-07-23 23:41:46.196 | INFO     | user_script:main:9 - --- 表单控件测试 ---
2025-07-23 23:41:46.197 | INFO     | user_script:main:10 - 目录选择: 
2025-07-23 23:41:46.197 | INFO     | user_script:main:11 - 文件选择: 
2025-07-23 23:41:46.197 | INFO     | user_script:main:12 - 布尔判断: 
2025-07-23 23:41:46.198 | INFO     | user_script:main:13 - 单选选择: 红色
2025-07-23 23:41:46.198 | INFO     | user_script:main:14 - 多选选择: 阅读
2025-07-23 23:41:46.198 | INFO     | user_script:main:18 - 多选解析后: ['阅读']
2025-07-23 23:41:46.199 | INFO     | user_script:main:19 - --- END ---
2025-07-23 23:44:23.531 | INFO     | __main__:run_script:240 - 开始执行脚本: 基础脚本 - 副本 (4)\hello
2025-07-23 23:44:27.930 | INFO     | __main__:run_script:240 - 开始执行脚本: 基础脚本 - 副本 (4)\hello
2025-07-23 23:44:28.011 | INFO     | __main__:run_script:240 - 开始执行脚本: 基础脚本 - 副本 (4)\hello
2025-07-23 23:44:31.089 | INFO     | __main__:run_script:240 - 开始执行脚本: 基础脚本 - 副本 (4)\test_form
2025-07-23 23:44:31.090 | INFO     | user_script:main:9 - --- 表单控件测试 ---
2025-07-23 23:44:31.091 | INFO     | user_script:main:10 - 目录选择: 
2025-07-23 23:44:31.091 | INFO     | user_script:main:11 - 文件选择: 
